frame_no,class_id,class_name,id,x,y,w,h
0,2,car,1,76.08992,33.044567,10.539856,13.768898
1,2,car,0,76.03006,32.73212,10.477203,13.770775
1,5,bus,0,159.19592,115.795265,19.714294,38.969345
1,2,car,0,66.94554,108.89974,25.02037,30.48378
1,2,car,0,149.20853,77.202385,15.279663,25.607056
1,2,car,0,106.375854,59.24894,13.637604,19.770874
1,2,car,0,102.687004,4.746767,6.06485,7.168619
1,2,car,0,93.292816,31.6127,10.991577,12.645138
1,2,car,0,106.42014,63.18198,13.224869,12.93795
2,2,car,0,76.28027,33.031956,10.603638,13.623177
2,5,bus,0,159.42703,116.083,19.642273,39.197403
2,2,car,0,149.44164,77.625984,15.383453,25.304092
2,2,car,0,65.58754,112.033936,24.971924,31.22525
2,2,car,0,93.56841,32.495045,11.257034,12.570404
2,2,car,0,106.154015,63.303425,13.071381,14.473228
2,2,car,0,102.69711,5.2567186,5.8913116,7.4209385
2,6,train,0,159.20947,115.80127,20.032166,38.68622
2,6,train,0,149.43411,77.7751,14.9071045,25.43872
3,2,car,1,63.81402,115.10385,25.758682,31.643219
4,2,car,1,62.853558,117.82497,27.034569,32.83377
5,2,car,0,76.0824,33.050865,10.599121,13.947176
5,2,car,0,92.94188,34.86332,11.728455,14.089272
5,2,car,0,105.52283,64.56389,14.0298,20.537838
5,5,bus,0,159.56004,117.83386,20.101105,39.200653
5,2,car,0,60.738876,120.90463,27.56012,33.772156
5,2,car,0,102.95859,5.731516,5.940399,7.0225067
5,6,train,0,149.54053,79.07867,15.177429,26.379242
5,6,train,0,126.757965,149.94336,24.82901,176.90143
6,2,car,0,76.10448,33.05456,10.573456,13.927727
6,5,bus,0,159.62302,117.95337,20.2583,39.09558
6,2,car,0,59.474396,123.82763,28.087494,35.01506
6,2,car,0,93.28012,35.70543,11.319916,14.278196
6,2,car,0,105.21217,68.467514,13.532196,15.203426
6,6,train,0,149.68527,79.5119,15.357422,26.84079
6,2,car,0,103.03855,6.1033316,6.0785675,6.709755
6,2,car,0,94.81932,14.043704,8.131836,8.227793
6,6,train,0,126.181885,150.1419,26.878265,177.26224
7,5,bus,1,159.6594,118.43281,19.953003,39.594925
7,2,car,2,76.13198,33.056644,10.500549,13.898651
8,5,bus,1,159.53494,119.18628,19.809448,39.361115
9,5,bus,1,159.53952,119.6617,20.031097,39.388153
9,2,car,2,54.048622,133.28772,31.66307,39.28891
9,2,car,3,76.15842,33.022324,10.490967,13.821381
10,2,car,1,76.13913,33.000893,10.651215,13.737946
11,2,car,1,76.31337,33.27793,10.755478,13.455566
11,2,car,2,92.27748,39.759525,12.239105,15.392975
12,2,car,1,76.258736,33.312515,10.690704,13.419495
13,2,car,1,76.24983,33.321148,10.628387,13.364021
14,2,car,1,76.27821,33.305534,10.685165,13.385132
15,2,car,1,76.34708,33.296097,10.762817,13.338585
16,2,car,1,38.37912,163.11552,40.31154,49.787903
17,2,car,0,35.31809,168.00809,40.889793,51.804993
17,2,car,0,101.86389,82.74695,16.971252,26.749603
17,5,bus,0,160.2074,124.08902,20.599915,41.61328
17,2,car,0,76.31024,33.60431,10.18634,13.633272
17,2,car,0,103.87039,9.246515,6.493225,7.4218335
17,2,car,0,95.0362,18.930103,9.553177,9.80626
17,6,train,0,150.8396,83.04502,16.320984,29.656174
17,2,car,0,91.734604,46.120056,11.845734,15.933128
17,2,car,0,150.40561,83.09079,16.055084,28.98703
17,5,bus,0,35.235672,168.06824,40.65825,51.72174
18,2,car,1,32.496586,172.98967,43.26676,53.89981
19,2,car,1,29.664488,178.55237,44.834324,56.46219
20,2,car,1,25.123934,184.92818,46.476925,59.17102
21,2,car,1,23.100513,190.81157,46.201027,62.45819
22,2,car,1,21.633286,197.69467,43.26657,65.802795
22,2,car,2,103.94357,10.044112,7.3232117,8.502087
23,2,car,1,20.051208,203.73672,40.089386,67.09256
24,2,car,0,76.347374,33.59197,10.899109,13.929062
24,5,bus,0,160.64177,127.69993,21.517609,43.654922
24,2,car,0,89.16799,53.98044,14.92244,18.085648
24,6,train,0,151.29773,85.35867,16.954865,32.138
24,2,car,0,104.12886,10.502226,7.0908203,8.984444
24,6,train,0,71.68987,123.21935,143.37975,233.5613
24,2,car,0,97.89988,97.52048,19.430557,32.01239
24,6,train,0,204.84781,119.88356,199.60358,237.0238
25,6,train,0,151.3795,85.63222,16.919556,32.622833
25,2,car,0,76.33413,33.746128,10.978775,13.857277
25,2,car,0,104.09219,11.333676,7.077301,7.983082
25,5,bus,0,160.77837,128.51581,21.48352,43.4226
25,5,bus,0,97.13939,99.333786,19.0372,33.782623
25,2,car,0,89.09456,55.51706,14.279663,18.522766
25,2,car,0,16.804016,211.06615,33.534286,57.867706
25,6,train,0,122.84193,142.62491,37.702774,193.4206
25,2,car,0,94.95499,23.223972,10.421371,10.081642
26,5,bus,0,160.74208,128.88101,21.704407,43.682243
26,2,car,0,76.26756,33.434742,10.968323,13.474152
26,6,train,0,151.41168,86.24908,16.950195,31.90944
26,6,train,0,73.92081,121.90963,147.60596,235.98589
26,5,bus,0,96.53404,102.118576,20.588257,34.091125
26,2,car,0,96.5844,101.95931,20.3479,33.8732
26,6,train,0,134.63107,119.75774,49.273743,236.00336
26,2,car,0,104.1581,11.45859,7.0179443,8.439831
27,2,car,0,87.979324,58.891754,14.275787,17.788757
27,2,car,0,76.38212,33.76178,11.075562,13.927231
27,6,train,0,151.74547,86.63054,16.496643,32.02092
27,5,bus,0,160.907,129.3315,22.10559,43.631683
27,6,train,0,76.60887,122.49544,151.93289,234.86392
27,2,car,0,104.22041,11.642927,6.954376,8.85466
27,5,bus,0,95.55659,104.70241,21.305847,34.869537
27,2,car,0,95.48058,104.62695,21.103867,34.52722
28,2,car,1,87.95416,59.997803,14.839508,18.577713
29,2,car,1,87.292465,61.804497,15.161041,18.574387
30,2,car,0,76.25357,33.778435,11.297913,14.226076
30,6,train,0,151.64404,88.0179,16.897888,31.783966
30,5,bus,0,161.01591,130.85815,21.529938,44.47924
30,2,car,0,87.02682,62.700455,15.220703,19.68544
30,2,car,0,104.423965,12.869947,6.984833,8.509724
30,6,train,0,126.65816,120.90184,30.546112,235.34286
30,2,car,0,93.2146,112.75906,22.486267,38.611572
30,6,train,0,161.25589,130.8673,22.240326,43.691193
30,7,truck,0,93.04349,112.91786,22.274612,38.53842
30,5,bus,0,93.14903,112.83566,22.554047,38.552612
31,2,car,0,76.13612,33.85373,11.531128,14.279213
31,6,train,0,151.46362,88.23007,17.323273,32.45392
31,2,car,0,85.7296,64.250496,15.828461,19.947708
31,2,car,0,104.34154,13.130386,7.6954193,9.424953
31,5,bus,0,161.08769,131.55893,21.609985,44.150146
31,2,car,0,92.490814,115.732315,24.11914,39.410248
31,6,train,0,127.28624,120.63229,32.10675,235.9833
31,6,train,0,77.69823,122.095436,154.43637,235.63737
31,6,train,0,161.36234,131.62828,22.375916,43.43988
32,2,car,1,76.16651,33.8618,11.460876,14.366165
33,2,car,1,104.43885,13.868425,7.375168,8.7943535
34,2,car,1,104.59677,14.060795,7.426697,9.321236
35,2,car,1,104.75169,14.217938,7.3115845,8.95809
35,2,car,2,83.57156,70.29946,15.693665,22.228806
36,2,car,0,104.816574,14.452341,7.4771423,9.062534
36,2,car,0,76.23344,34.179398,11.341141,14.142143
36,5,bus,0,161.4595,134.61574,22.342285,45.827545
36,2,car,0,83.127335,71.429565,16.811523,23.222641
36,6,train,0,151.52881,90.24578,17.14032,33.036438
36,5,bus,0,86.143845,132.96536,26.326294,46.432243
36,2,car,0,95.06706,29.943895,9.992386,11.612255
36,6,train,0,119.77435,123.63885,47.115356,232.7223
36,2,car,0,292.8811,117.4814,18.619629,17.81543
37,2,car,1,292.08032,119.39646,22.630005,18.865952
38,2,car,1,290.8542,120.7995,23.472534,19.004944
38,2,car,2,82.83893,75.06767,19.570068,25.130325
39,2,car,1,288.93518,122.28459,23.39087,19.337463
39,5,bus,2,161.9661,135.91077,23.041504,46.030853
40,5,bus,0,162.16724,136.59264,23.008972,46.849915
40,2,car,0,287.34436,119.045715,24.157349,29.786682
40,2,car,0,76.27821,34.255165,11.677185,14.350615
40,6,train,0,151.31165,91.92422,17.810364,32.6976
40,2,car,0,105.32195,15.776447,7.3911285,10.013069
40,2,car,0,79.38493,81.47989,18.446198,21.876083
40,5,bus,0,80.69127,149.16502,32.149246,52.992676
40,6,train,0,131.02982,120.14158,42.50158,236.26338
40,2,car,0,95.21811,32.795998,9.997437,11.887436
40,7,truck,0,80.1371,149.13379,31.226837,54.084236
40,6,train,0,118.723206,123.11904,46.522034,232.63298
40,25,umbrella,0,310.93826,27.153954,17.814453,11.07872
41,5,bus,1,161.98509,137.26945,23.298431,46.680603
42,2,car,1,285.97583,122.90413,29.490479,29.580505
43,2,car,0,76.31697,34.36168,11.824127,14.556215
43,2,car,0,285.38892,124.631645,31.213867,29.625504
43,5,bus,0,162.18948,138.56448,23.09137,47.375427
43,2,car,0,75.48206,164.0739,36.300323,60.615234
43,6,train,0,151.48032,92.853294,17.47644,33.61612
43,2,car,0,76.6524,89.4911,17.250885,20.875412
43,6,train,0,131.21986,121.186615,41.65738,234.6666
43,5,bus,0,75.467545,164.20348,36.157284,60.459747
43,2,car,0,105.524185,17.614664,7.6217346,8.673622
43,6,train,0,119.79851,125.21691,46.879272,228.05287
44,2,car,0,284.38544,126.17429,33.184692,32.148697
44,2,car,0,76.3188,34.383003,12.076996,14.422874
44,2,car,0,73.49321,169.38739,38.60164,62.87506
44,2,car,0,105.53337,18.192122,7.1248016,8.573559
44,5,bus,0,162.2264,139.20425,23.22525,47.41461
44,6,train,0,133.43074,120.855675,45.61667,235.77373
44,5,bus,0,73.25214,169.27008,38.321045,62.509583
44,2,car,0,76.65631,88.35588,21.406189,28.755035
44,6,train,0,151.4508,93.57559,18.274597,33.15735
44,5,bus,0,76.59013,88.18054,21.520233,29.07898
45,2,car,0,76.16187,34.564598,12.11911,14.311775
45,2,car,0,105.68668,18.443594,7.2700195,9.183559
45,2,car,0,71.508095,174.77242,39.6313,65.18649
45,2,car,0,282.83023,126.48992,32.81726,35.527267
45,5,bus,0,162.2113,139.79015,23.888428,48.169556
45,2,car,0,94.934265,36.962727,10.473755,13.540062
45,6,train,0,135.18144,120.29587,49.113678,236.67389
45,6,train,0,151.50287,93.803635,18.29486,33.932343
45,5,bus,0,71.74816,174.4568,39.491653,65.20834
45,2,car,0,73.66417,97.87802,17.871002,15.2005005
45,25,umbrella,0,310.96204,27.562168,17.773438,11.489632
46,2,car,1,69.2306,180.89337,40.632156,70.40076
47,2,car,1,66.95822,185.56622,43.213684,74.2511
48,2,car,0,76.339325,34.400307,12.011261,14.574648
48,2,car,0,278.8069,130.27924,35.254272,40.764473
48,2,car,0,63.73923,193.66432,44.900322,76.756256
48,2,car,0,106.12991,19.195467,8.042511,10.246685
48,2,car,0,70.191154,106.44495,19.467682,17.077606
48,6,train,0,151.38634,94.37424,18.536652,34.09915
48,6,train,0,135.24454,119.66922,49.579338,235.98499
48,2,car,0,72.12507,98.3853,22.859558,32.261597
48,5,bus,0,162.59792,141.66824,24.19284,48.03057
48,2,car,0,94.66797,39.139458,10.8958435,14.100754
48,5,bus,0,94.10484,24.138842,14.751373,44.07015
49,2,car,0,76.35492,34.474503,12.174194,14.593016
49,2,car,0,61.10769,200.30241,46.428482,77.69278
49,2,car,0,106.152374,19.67713,8.063568,10.200043
49,2,car,0,68.52327,108.67206,19.630127,17.508972
49,6,train,0,76.59564,120.22719,153.19128,238.78189
49,2,car,0,276.96265,132.47038,35.732666,40.68698
49,6,train,0,135.29604,119.3732,49.920807,236.04477
49,6,train,0,151.50107,94.54619,18.393982,34.21704
49,5,bus,0,162.80078,141.94861,23.606415,48.308044
49,2,car,0,70.10281,100.93594,23.290253,32.79303
49,2,car,0,94.817245,40.441177,11.368439,13.595245
50,2,car,1,269.8645,143.5662,24.266907,23.491821
51,2,car,0,67.68378,107.63759,26.337341,36.02887
51,2,car,0,76.32632,34.517864,11.528931,14.452217
51,2,car,0,56.445328,206.16142,47.708984,67.48343
51,6,train,0,77.63378,120.81338,155.26756,237.06422
51,2,car,0,268.22314,146.00467,26.380127,24.703308
51,6,train,0,151.8092,95.185936,17.949707,34.261826
51,2,car,0,106.2245,20.807474,8.466248,9.84251
51,2,car,0,273.4096,136.94597,36.198853,42.784058
51,6,train,0,134.36461,119.004364,51.76651,237.69012
51,5,bus,0,163.03893,143.48587,24.228516,49.230705
51,2,car,0,65.22856,116.20587,20.83588,18.578217
52,2,car,1,271.541,138.79343,36.155823,43.690002
53,2,car,1,269.8628,140.96683,36.585327,45.04596
54,2,car,0,268.41504,143.2933,37.21637,45.363007
54,6,train,0,74.97006,121.13358,148.44452,236.52904
54,2,car,0,76.393845,34.610374,11.384186,14.383179
54,5,bus,0,163.11243,145.59198,24.577942,49.48871
54,2,car,0,59.42373,128.0128,22.781525,20.579163
54,6,train,0,152.0907,96.20738,17.694214,34.311935
54,2,car,0,62.916695,117.91788,29.642548,40.664886
54,2,car,0,93.71357,45.90989,12.632217,14.04306
54,7,truck,0,62.85824,117.84761,29.078568,40.47885
54,6,train,0,134.38643,118.92464,48.401672,237.35666
54,2,car,0,51.06351,215.7262,44.247826,48.15045
55,2,car,1,266.71213,145.64937,36.876465,45.654724
56,2,car,1,264.9464,148.0914,37.773193,46.725647
57,2,car,1,263.29675,150.54259,37.566223,48.369507
58,2,car,1,261.1792,153.43011,37.354614,49.982788
59,2,car,1,260.0288,156.19324,38.18689,50.36621
60,2,car,1,257.9174,158.8864,39.09784,51.82901
61,2,car,1,256.2569,161.66296,39.10321,52.785065
61,2,car,2,46.463604,149.20914,39.133095,53.552338
62,2,car,1,254.60913,164.62106,40.006042,54.77649
62,2,car,2,43.08594,155.18219,41.35167,56.26178
63,2,car,1,253.10764,167.99908,39.930847,56.180115
63,2,car,2,39.6631,160.76045,43.392014,58.634613
64,2,car,1,251.22946,170.86423,40.526,57.731934
64,2,car,2,36.076046,166.89009,45.707603,60.421844
65,2,car,1,32.215202,172.89963,47.64023,63.22174
65,2,car,2,249.58777,173.97934,40.477905,59.446136
66,2,car,1,247.81296,178.08548,41.059875,60.975708
67,2,car,1,246.12198,181.47469,41.23163,63.486603
68,2,car,1,244.35791,184.77026,41.874268,65.854065
68,6,train,2,72.10806,122.50621,144.21613,233.52698
69,2,car,1,242.4281,189.70016,42.100952,65.09241
70,2,car,1,240.36563,194.06789,43.31781,67.13312
70,2,car,2,107.59331,30.219471,8.729965,11.032158
71,2,car,1,238.7691,197.81854,43.209106,69.73346
72,2,car,1,237.36221,202.09888,43.785217,71.29846
73,2,car,0,235.7471,204.53339,44.020752,69.94501
73,2,car,0,107.62564,31.89059,8.905548,12.300598
73,2,car,0,76.53763,35.586075,12.108337,14.266985
73,2,car,0,88.206726,70.34525,15.427338,19.791122
73,6,train,0,72.306656,123.99722,144.2109,231.89984
73,5,bus,0,164.34976,162.1262,24.78186,56.117126
